"Notes"	"County"	"County Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Adams County, WI"	"55001"	"Neoplasms"	"C00-D48"	81	20930	387.0043	307.3356	481.0115	43.0005
	"Adams County, WI"	"55001"	"Diseases of the circulatory system"	"I00-I99"	73	20930	348.7817	273.3890	438.5406	40.8218
	"Adams County, WI"	"55001"	"Diseases of the respiratory system"	"J00-J98"	26	20930	124.2236	81.1466	182.0161	24.3623
	"Adams County, WI"	"55001"	"External causes of morbidity and mortality"	"V01-Y89"	17	20930	Unreliable	47.3157	130.0463	19.6995
	"Ashland County, WI"	"55003"	"Neoplasms"	"C00-D48"	43	16128	266.6171	192.9508	359.1305	40.6587
	"Ashland County, WI"	"55003"	"Diseases of the nervous system"	"G00-G98"	11	16128	Unreliable	34.0476	122.0367	20.5644
	"Ashland County, WI"	"55003"	"Diseases of the circulatory system"	"I00-I99"	59	16128	365.8234	278.4831	471.8866	47.6262
	"Ashland County, WI"	"55003"	"Diseases of the respiratory system"	"J00-J98"	21	16128	130.2083	80.6016	199.0378	28.4138
	"Barron County, WI"	"55005"	"Neoplasms"	"C00-D48"	116	45876	252.8555	206.8405	298.8705	23.4770
	"Barron County, WI"	"55005"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	19	45876	Unreliable	24.9353	64.6760	9.5015
	"Barron County, WI"	"55005"	"Mental and behavioural disorders"	"F01-F99"	28	45876	61.0341	40.5565	88.2114	11.5344
	"Barron County, WI"	"55005"	"Diseases of the nervous system"	"G00-G98"	28	45876	61.0341	40.5565	88.2114	11.5344
	"Barron County, WI"	"55005"	"Diseases of the circulatory system"	"I00-I99"	152	45876	331.3279	278.6544	384.0014	26.8742
	"Barron County, WI"	"55005"	"Diseases of the respiratory system"	"J00-J98"	37	45876	80.6522	56.7864	111.1686	13.2591
	"Barron County, WI"	"55005"	"Diseases of the digestive system"	"K00-K92"	16	45876	Unreliable	19.9351	56.6375	8.7192
	"Barron County, WI"	"55005"	"Diseases of the genitourinary system"	"N00-N98"	15	45876	Unreliable	18.3001	53.9285	8.4423
	"Barron County, WI"	"55005"	"External causes of morbidity and mortality"	"V01-Y89"	26	45876	56.6745	37.0215	83.0412	11.1148
	"Bayfield County, WI"	"55007"	"Neoplasms"	"C00-D48"	64	14981	427.2078	329.0013	545.5358	53.4010
	"Bayfield County, WI"	"55007"	"Diseases of the circulatory system"	"I00-I99"	60	14981	400.5073	305.6311	515.5330	51.7053
	"Bayfield County, WI"	"55007"	"Diseases of the respiratory system"	"J00-J98"	15	14981	Unreliable	56.0400	165.1442	25.8526
	"Bayfield County, WI"	"55007"	"Diseases of the digestive system"	"K00-K92"	10	14981	Unreliable	32.0099	122.7582	21.1086
	"Brown County, WI"	"55009"	"Certain infectious and parasitic diseases"	"A00-B99"	30	246476	12.1716	8.2122	17.3756	2.2222
	"Brown County, WI"	"55009"	"Neoplasms"	"C00-D48"	378	246476	153.3618	137.9012	168.8224	7.8881
	"Brown County, WI"	"55009"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	38	246476	15.4173	10.9102	21.1615	2.5010
	"Brown County, WI"	"55009"	"Mental and behavioural disorders"	"F01-F99"	98	246476	39.7605	32.2795	48.4553	4.0164
	"Brown County, WI"	"55009"	"Diseases of the nervous system"	"G00-G98"	98	246476	39.7605	32.2795	48.4553	4.0164
	"Brown County, WI"	"55009"	"Diseases of the circulatory system"	"I00-I99"	522	246476	211.7853	193.6169	229.9537	9.2696
	"Brown County, WI"	"55009"	"Diseases of the respiratory system"	"J00-J98"	148	246476	60.0464	50.3723	69.7206	4.9358
	"Brown County, WI"	"55009"	"Diseases of the digestive system"	"K00-K92"	64	246476	25.9660	19.9969	33.1581	3.2458
	"Brown County, WI"	"55009"	"Diseases of the genitourinary system"	"N00-N98"	35	246476	14.2002	9.8910	19.7490	2.4003
	"Brown County, WI"	"55009"	"Certain conditions originating in the perinatal period"	"P00-P96"	10	246476	Unreliable	1.9456	7.4613	1.2830
	"Brown County, WI"	"55009"	"External causes of morbidity and mortality"	"V01-Y89"	127	246476	51.5263	42.5648	60.4879	4.5722
	"Buffalo County, WI"	"55011"	"Neoplasms"	"C00-D48"	26	13618	190.9238	124.7171	279.7472	37.4432
	"Buffalo County, WI"	"55011"	"Mental and behavioural disorders"	"F01-F99"	10	13618	Unreliable	35.2137	135.0448	23.2213
	"Buffalo County, WI"	"55011"	"Diseases of the circulatory system"	"I00-I99"	45	13618	330.4450	241.0299	442.1618	49.2598
	"Buffalo County, WI"	"55011"	"Diseases of the respiratory system"	"J00-J98"	14	13618	Unreliable	56.2046	172.4895	27.4758
	"Burnett County, WI"	"55013"	"Neoplasms"	"C00-D48"	45	15609	288.2952	210.2854	385.7621	42.9765
	"Burnett County, WI"	"55013"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	11	15609	Unreliable	35.1797	126.0944	21.2482
	"Burnett County, WI"	"55013"	"Diseases of the circulatory system"	"I00-I99"	45	15609	288.2952	210.2854	385.7621	42.9765
	"Burnett County, WI"	"55013"	"Diseases of the respiratory system"	"J00-J98"	15	15609	Unreliable	53.7853	158.4999	24.8125
	"Burnett County, WI"	"55013"	"External causes of morbidity and mortality"	"V01-Y89"	12	15609	Unreliable	39.7240	134.2918	22.1930
	"Calumet County, WI"	"55015"	"Neoplasms"	"C00-D48"	78	48457	160.9675	127.2383	200.8954	18.2260
	"Calumet County, WI"	"55015"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	13	48457	Unreliable	14.2848	45.8765	7.4407
	"Calumet County, WI"	"55015"	"Mental and behavioural disorders"	"F01-F99"	20	48457	41.2737	25.2112	63.7439	9.2291
	"Calumet County, WI"	"55015"	"Diseases of the nervous system"	"G00-G98"	19	48457	Unreliable	23.6072	61.2312	8.9954
	"Calumet County, WI"	"55015"	"Diseases of the circulatory system"	"I00-I99"	85	48457	175.4133	140.1131	216.9020	19.0262
	"Calumet County, WI"	"55015"	"Diseases of the respiratory system"	"J00-J98"	26	48457	53.6558	35.0496	78.6181	10.5228
	"Calumet County, WI"	"55015"	"Diseases of the digestive system"	"K00-K92"	13	48457	Unreliable	14.2848	45.8765	7.4407
	"Calumet County, WI"	"55015"	"External causes of morbidity and mortality"	"V01-Y89"	26	48457	53.6558	35.0496	78.6181	10.5228
	"Chippewa County, WI"	"55017"	"Neoplasms"	"C00-D48"	139	61997	224.2044	186.9315	261.4773	19.0168
	"Chippewa County, WI"	"55017"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	30	61997	48.3894	32.6484	69.0788	8.8347
	"Chippewa County, WI"	"55017"	"Mental and behavioural disorders"	"F01-F99"	25	61997	40.3245	26.0960	59.5271	8.0649
	"Chippewa County, WI"	"55017"	"Diseases of the nervous system"	"G00-G98"	14	61997	Unreliable	12.3457	37.8883	6.0352
	"Chippewa County, WI"	"55017"	"Diseases of the circulatory system"	"I00-I99"	153	61997	246.7861	207.6812	285.8910	19.9515
	"Chippewa County, WI"	"55017"	"Diseases of the respiratory system"	"J00-J98"	57	61997	91.9399	69.6344	119.1192	12.1777
	"Chippewa County, WI"	"55017"	"Diseases of the digestive system"	"K00-K92"	18	61997	Unreliable	17.2071	45.8857	6.8433
	"Chippewa County, WI"	"55017"	"Diseases of the genitourinary system"	"N00-N98"	15	61997	Unreliable	13.5415	39.9056	6.2470
	"Chippewa County, WI"	"55017"	"External causes of morbidity and mortality"	"V01-Y89"	46	61997	74.1971	54.3220	98.9686	10.9398
	"Clark County, WI"	"55019"	"Certain infectious and parasitic diseases"	"A00-B99"	10	34589	Unreliable	13.8639	53.1683	9.1424
	"Clark County, WI"	"55019"	"Neoplasms"	"C00-D48"	77	34589	222.6141	175.6826	278.2298	25.3692
	"Clark County, WI"	"55019"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	18	34589	Unreliable	30.8418	82.2450	12.2659
	"Clark County, WI"	"55019"	"Mental and behavioural disorders"	"F01-F99"	21	34589	60.7129	37.5825	92.8064	13.2487
	"Clark County, WI"	"55019"	"Diseases of the nervous system"	"G00-G98"	26	34589	75.1684	49.1023	110.1390	14.7417
	"Clark County, WI"	"55019"	"Diseases of the circulatory system"	"I00-I99"	84	34589	242.8518	193.7083	300.6675	26.4973
	"Clark County, WI"	"55019"	"Diseases of the respiratory system"	"J00-J98"	37	34589	106.9704	75.3168	147.4448	17.5858
	"Clark County, WI"	"55019"	"Diseases of the genitourinary system"	"N00-N98"	13	34589	Unreliable	20.0121	64.2701	10.4240
	"Clark County, WI"	"55019"	"External causes of morbidity and mortality"	"V01-Y89"	22	34589	63.6040	39.8600	96.2971	13.5604
	"Columbia County, WI"	"55021"	"Neoplasms"	"C00-D48"	127	56469	224.9022	185.7868	264.0176	19.9568
	"Columbia County, WI"	"55021"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	16	56469	Unreliable	16.1955	46.0129	7.0835
	"Columbia County, WI"	"55021"	"Mental and behavioural disorders"	"F01-F99"	29	56469	51.3556	34.3939	73.7554	9.5365
	"Columbia County, WI"	"55021"	"Diseases of the nervous system"	"G00-G98"	38	56469	67.2936	47.6210	92.3658	10.9165
	"Columbia County, WI"	"55021"	"Diseases of the circulatory system"	"I00-I99"	149	56469	263.8616	221.4935	306.2297	21.6164
	"Columbia County, WI"	"55021"	"Diseases of the respiratory system"	"J00-J98"	40	56469	70.8353	50.6055	96.4579	11.2000
	"Columbia County, WI"	"55021"	"Diseases of the digestive system"	"K00-K92"	18	56469	Unreliable	18.8916	50.3776	7.5132
	"Columbia County, WI"	"55021"	"Diseases of the genitourinary system"	"N00-N98"	10	56469	Unreliable	8.4921	32.5672	5.6000
	"Columbia County, WI"	"55021"	"External causes of morbidity and mortality"	"V01-Y89"	30	56469	53.1265	35.8444	75.8413	9.6995
	"Crawford County, WI"	"55023"	"Neoplasms"	"C00-D48"	39	16692	233.6449	166.1449	319.3995	37.4131
	"Crawford County, WI"	"55023"	"Mental and behavioural disorders"	"F01-F99"	11	16692	Unreliable	32.8972	117.9133	19.8695
	"Crawford County, WI"	"55023"	"Diseases of the circulatory system"	"I00-I99"	55	16692	329.4992	248.2249	428.8893	44.4297
	"Crawford County, WI"	"55023"	"Diseases of the respiratory system"	"J00-J98"	21	16692	125.8088	77.8781	192.3125	27.4537
	"Crawford County, WI"	"55023"	"External causes of morbidity and mortality"	"V01-Y89"	14	16692	Unreliable	45.8539	140.7238	22.4159
	"Dane County, WI"	"55025"	"Certain infectious and parasitic diseases"	"A00-B99"	43	484979	8.8664	6.4166	11.9429	1.3521
	"Dane County, WI"	"55025"	"Neoplasms"	"C00-D48"	725	484979	149.4910	138.6092	160.3728	5.5520
	"Dane County, WI"	"55025"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	100	484979	20.6194	16.5780	24.6609	2.0619
	"Dane County, WI"	"55025"	"Mental and behavioural disorders"	"F01-F99"	189	484979	38.9708	33.4147	44.5268	2.8347
	"Dane County, WI"	"55025"	"Diseases of the nervous system"	"G00-G98"	245	484979	50.5177	44.1918	56.8435	3.2275
	"Dane County, WI"	"55025"	"Diseases of the circulatory system"	"I00-I99"	769	484979	158.5636	147.3564	169.7707	5.7179
	"Dane County, WI"	"55025"	"Diseases of the respiratory system"	"J00-J98"	235	484979	48.4557	42.2603	54.6511	3.1609
	"Dane County, WI"	"55025"	"Diseases of the digestive system"	"K00-K92"	103	484979	21.2380	17.1364	25.3396	2.0926
	"Dane County, WI"	"55025"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	22	484979	4.5363	2.8428	6.8680	0.9671
	"Dane County, WI"	"55025"	"Diseases of the genitourinary system"	"N00-N98"	57	484979	11.7531	8.9017	15.2275	1.5567
	"Dane County, WI"	"55025"	"Certain conditions originating in the perinatal period"	"P00-P96"	17	484979	Unreliable	2.0420	5.6123	0.8502
