"Notes"	"County"	"County Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Adams County, WI"	"55001"	"Neoplasms"	"C00-D48"	61	20774	293.6363	224.6083	377.1875	37.5963
	"Adams County, WI"	"55001"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	15	20774	Unreliable	40.4128	119.0924	18.6434
	"Adams County, WI"	"55001"	"Diseases of the nervous system"	"G00-G98"	14	20774	Unreliable	36.8438	113.0722	18.0113
	"Adams County, WI"	"55001"	"Diseases of the circulatory system"	"I00-I99"	78	20774	375.4693	296.7935	468.6045	42.5135
	"Adams County, WI"	"55001"	"Diseases of the respiratory system"	"J00-J98"	21	20774	101.0879	62.5754	154.5240	22.0592
	"Adams County, WI"	"55001"	"External causes of morbidity and mortality"	"V01-Y89"	14	20774	Unreliable	36.8438	113.0722	18.0113
	"Ashland County, WI"	"55003"	"Neoplasms"	"C00-D48"	39	16547	235.6923	167.6008	322.1984	37.7410
	"Ashland County, WI"	"55003"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	10	16547	Unreliable	28.9805	111.1404	19.1109
	"Ashland County, WI"	"55003"	"Diseases of the nervous system"	"G00-G98"	10	16547	Unreliable	28.9805	111.1404	19.1109
	"Ashland County, WI"	"55003"	"Diseases of the circulatory system"	"I00-I99"	86	16547	519.7317	415.7178	641.8634	56.0441
	"Ashland County, WI"	"55003"	"Diseases of the respiratory system"	"J00-J98"	29	16547	175.2584	117.3740	251.7008	32.5447
	"Ashland County, WI"	"55003"	"Diseases of the genitourinary system"	"N00-N98"	10	16547	Unreliable	28.9805	111.1404	19.1109
	"Ashland County, WI"	"55003"	"External causes of morbidity and mortality"	"V01-Y89"	16	16547	Unreliable	55.2695	157.0257	24.1736
	"Barron County, WI"	"55005"	"Neoplasms"	"C00-D48"	110	45804	240.1537	195.2741	285.0333	22.8978
	"Barron County, WI"	"55005"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	14	45804	Unreliable	16.7102	51.2829	8.1688
	"Barron County, WI"	"55005"	"Mental and behavioural disorders"	"F01-F99"	13	45804	Unreliable	15.1122	48.5337	7.8717
	"Barron County, WI"	"55005"	"Diseases of the nervous system"	"G00-G98"	26	45804	56.7636	37.0797	83.1717	11.1323
