"Notes"	"County"	"County Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Adams County, WI"	"55001"	"Neoplasms"	"C00-D48"	72	20069	358.7623	280.7100	451.8001	42.2805
	"Adams County, WI"	"55001"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	13	20069	Unreliable	34.4909	110.7698	17.9658
	"Adams County, WI"	"55001"	"Diseases of the nervous system"	"G00-G98"	12	20069	Unreliable	30.8960	104.4477	17.2610
	"Adams County, WI"	"55001"	"Diseases of the circulatory system"	"I00-I99"	85	20069	423.5388	338.3058	523.7142	45.9392
	"Adams County, WI"	"55001"	"Diseases of the respiratory system"	"J00-J98"	34	20069	169.4155	117.3253	236.7412	29.0545
	"Adams County, WI"	"55001"	"Diseases of the digestive system"	"K00-K92"	14	20069	Unreliable	38.1381	117.0443	18.6440
	"Adams County, WI"	"55001"	"External causes of morbidity and mortality"	"V01-Y89"	19	20069	Unreliable	57.0000	147.8438	21.7196
	"Ashland County, WI"	"55003"	"Neoplasms"	"C00-D48"	51	15714	324.5514	241.6512	426.7266	45.4463
	"Ashland County, WI"	"55003"	"Diseases of the nervous system"	"G00-G98"	17	15714	Unreliable	63.0214	173.2131	26.2384
	"Ashland County, WI"	"55003"	"Diseases of the circulatory system"	"I00-I99"	54	15714	343.6426	258.1546	448.3780	46.7638
	"Ashland County, WI"	"55003"	"Diseases of the respiratory system"	"J00-J98"	19	15714	Unreliable	72.7971	188.8175	27.7390
	"Ashland County, WI"	"55003"	"External causes of morbidity and mortality"	"V01-Y89"	17	15714	Unreliable	63.0214	173.2131	26.2384
	"Barron County, WI"	"55005"	"Neoplasms"	"C00-D48"	111	45412	244.4288	198.9565	289.9011	23.2002
	"Barron County, WI"	"55005"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	25	45412	55.0515	35.6266	81.2671	11.0103
