"Notes"	"County"	"County Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Adams County, WI"	"55001"	"Neoplasms"	"C00-D48"	66	19973	330.4461	255.5670	420.4101	40.6751
	"Adams County, WI"	"55001"	"Diseases of the nervous system"	"G00-G98"	15	19973	Unreliable	42.0335	123.8685	19.3911
	"Adams County, WI"	"55001"	"Diseases of the circulatory system"	"I00-I99"	80	19973	400.5407	317.6048	498.5090	44.7818
	"Adams County, WI"	"55001"	"Diseases of the respiratory system"	"J00-J98"	34	19973	170.2298	117.8893	237.8791	29.1942
	"Adams County, WI"	"55001"	"Diseases of the digestive system"	"K00-K92"	12	19973	Unreliable	31.0445	104.9497	17.3439
	"Adams County, WI"	"55001"	"External causes of morbidity and mortality"	"V01-Y89"	29	19973	145.1960	97.2407	208.5262	26.9622
	"Ashland County, WI"	"55003"	"Neoplasms"	"C00-D48"	34	15500	219.3548	151.9098	306.5265	37.6190
	"Ashland County, WI"	"55003"	"Mental and behavioural disorders"	"F01-F99"	10	15500	Unreliable	30.9381	118.6477	20.4018
	"Ashland County, WI"	"55003"	"Diseases of the nervous system"	"G00-G98"	13	15500	Unreliable	44.6579	143.4219	23.2616
	"Ashland County, WI"	"55003"	"Diseases of the circulatory system"	"I00-I99"	55	15500	354.8387	267.3142	461.8723	47.8464
	"Ashland County, WI"	"55003"	"Diseases of the respiratory system"	"J00-J98"	25	15500	161.2903	104.3790	238.0968	32.2581
	"Ashland County, WI"	"55003"	"External causes of morbidity and mortality"	"V01-Y89"	15	15500	Unreliable	54.1635	159.6145	24.9870
	"Barron County, WI"	"55005"	"Neoplasms"	"C00-D48"	109	45251	240.8787	195.6576	286.0998	23.0720
	"Barron County, WI"	"55005"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	34	45251	75.1365	52.0343	104.9957	12.8858
	"Barron County, WI"	"55005"	"Mental and behavioural disorders"	"F01-F99"	31	45251	68.5068	46.5469	97.2399	12.3042
	"Barron County, WI"	"55005"	"Diseases of the nervous system"	"G00-G98"	44	45251	97.2354	70.6513	130.5337	14.6588
	"Barron County, WI"	"55005"	"Diseases of the circulatory system"	"I00-I99"	153	45251	338.1141	284.5377	391.6905	27.3349
	"Barron County, WI"	"55005"	"Diseases of the respiratory system"	"J00-J98"	53	45251	117.1245	87.7344	153.2012	16.0883
	"Barron County, WI"	"55005"	"Diseases of the digestive system"	"K00-K92"	22	45251	48.6177	30.4682	73.6077	10.3653
	"Barron County, WI"	"55005"	"External causes of morbidity and mortality"	"V01-Y89"	51	45251	112.7047	83.9165	148.1864	15.7818
	"Bayfield County, WI"	"55007"	"Neoplasms"	"C00-D48"	41	15008	273.1876	196.0449	370.6091	42.6647
	"Bayfield County, WI"	"55007"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	10	15008	Unreliable	31.9523	122.5373	21.0706
	"Bayfield County, WI"	"55007"	"Diseases of the nervous system"	"G00-G98"	11	15008	Unreliable	36.5885	131.1439	22.0990
	"Bayfield County, WI"	"55007"	"Diseases of the circulatory system"	"I00-I99"	39	15008	259.8614	184.7874	355.2383	41.6111
	"Bayfield County, WI"	"55007"	"Diseases of the respiratory system"	"J00-J98"	10	15008	Unreliable	31.9523	122.5373	21.0706
	"Bayfield County, WI"	"55007"	"External causes of morbidity and mortality"	"V01-Y89"	18	15008	Unreliable	71.0813	189.5505	28.2692
	"Brown County, WI"	"55009"	"Certain infectious and parasitic diseases"	"A00-B99"	39	262052	14.8825	10.5830	20.3449	2.3831
	"Brown County, WI"	"55009"	"Neoplasms"	"C00-D48"	431	262052	164.4712	148.9435	179.9989	7.9223
	"Brown County, WI"	"55009"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	77	262052	29.3835	23.1889	36.7244	3.3486
	"Brown County, WI"	"55009"	"Mental and behavioural disorders"	"F01-F99"	156	262052	59.5302	50.1884	68.8720	4.7662
	"Brown County, WI"	"55009"	"Diseases of the nervous system"	"G00-G98"	164	262052	62.5830	53.0047	72.1613	4.8869
	"Brown County, WI"	"55009"	"Diseases of the circulatory system"	"I00-I99"	650	262052	248.0424	228.9735	267.1113	9.7290
	"Brown County, WI"	"55009"	"Diseases of the respiratory system"	"J00-J98"	191	262052	72.8863	62.5495	83.2231	5.2739
	"Brown County, WI"	"55009"	"Diseases of the digestive system"	"K00-K92"	80	262052	30.5283	24.2071	37.9952	3.4132
	"Brown County, WI"	"55009"	"Diseases of the genitourinary system"	"N00-N98"	47	262052	17.9354	13.1782	23.8503	2.6161
	"Brown County, WI"	"55009"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	19	262052	Unreliable	4.3653	11.3225	1.6634
	"Brown County, WI"	"55009"	"External causes of morbidity and mortality"	"V01-Y89"	194	262052	74.0311	63.6135	84.4488	5.3151
	"Buffalo County, WI"	"55011"	"Neoplasms"	"C00-D48"	36	13167	273.4108	191.4942	378.5154	45.5685
	"Buffalo County, WI"	"55011"	"Diseases of the circulatory system"	"I00-I99"	51	13167	387.3320	288.3958	509.2718	54.2373
	"Buffalo County, WI"	"55011"	"Diseases of the respiratory system"	"J00-J98"	12	13167	Unreliable	47.0914	159.1980	26.3090
	"Burnett County, WI"	"55013"	"Neoplasms"	"C00-D48"	62	15352	403.8562	309.6325	517.7234	51.2898
	"Burnett County, WI"	"55013"	"Mental and behavioural disorders"	"F01-F99"	15	15352	Unreliable	54.6857	161.1533	25.2279
	"Burnett County, WI"	"55013"	"Diseases of the nervous system"	"G00-G98"	10	15352	Unreliable	31.2363	119.7916	20.5985
	"Burnett County, WI"	"55013"	"Diseases of the circulatory system"	"I00-I99"	63	15352	410.3700	315.3406	525.0397	51.7018
	"Burnett County, WI"	"55013"	"Diseases of the respiratory system"	"J00-J98"	20	15352	130.2762	79.5766	201.2011	29.1306
	"Burnett County, WI"	"55013"	"Diseases of the digestive system"	"K00-K92"	11	15352	Unreliable	35.7686	128.2053	21.6039
	"Burnett County, WI"	"55013"	"External causes of morbidity and mortality"	"V01-Y89"	14	15352	Unreliable	49.8563	153.0069	24.3724
	"Calumet County, WI"	"55015"	"Neoplasms"	"C00-D48"	57	50067	113.8474	86.2269	147.5030	15.0795
	"Calumet County, WI"	"55015"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	28	50067	55.9251	37.1616	80.8274	10.5688
	"Calumet County, WI"	"55015"	"Mental and behavioural disorders"	"F01-F99"	35	50067	69.9063	48.6926	97.2229	11.8163
	"Calumet County, WI"	"55015"	"Diseases of the nervous system"	"G00-G98"	27	50067	53.9277	35.5389	78.4622	10.3784
	"Calumet County, WI"	"55015"	"Diseases of the circulatory system"	"I00-I99"	114	50067	227.6949	185.8968	269.4930	21.3256
	"Calumet County, WI"	"55015"	"Diseases of the respiratory system"	"J00-J98"	42	50067	83.8876	60.4586	113.3917	12.9441
	"Calumet County, WI"	"55015"	"Diseases of the digestive system"	"K00-K92"	18	50067	Unreliable	21.3072	56.8193	8.4739
	"Calumet County, WI"	"55015"	"External causes of morbidity and mortality"	"V01-Y89"	27	50067	53.9277	35.5389	78.4622	10.3784
	"Chippewa County, WI"	"55017"	"Neoplasms"	"C00-D48"	140	63813	219.3910	183.0489	255.7332	18.5419
	"Chippewa County, WI"	"55017"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	23	63813	36.0428	22.8479	54.0819	7.5154
	"Chippewa County, WI"	"55017"	"Mental and behavioural disorders"	"F01-F99"	31	63813	48.5794	33.0073	68.9546	8.7251
	"Chippewa County, WI"	"55017"	"Diseases of the nervous system"	"G00-G98"	54	63813	84.6223	63.5708	110.4134	11.5156
	"Chippewa County, WI"	"55017"	"Diseases of the circulatory system"	"I00-I99"	169	63813	264.8363	224.9072	304.7655	20.3720
	"Chippewa County, WI"	"55017"	"Diseases of the respiratory system"	"J00-J98"	55	63813	86.1893	64.9299	112.1875	11.6218
	"Chippewa County, WI"	"55017"	"Diseases of the digestive system"	"K00-K92"	16	63813	Unreliable	14.3316	40.7175	6.2683
