"Notes"	"County"	"County Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Adams County, WI"	"55001"	"Neoplasms"	"C00-D48"	61	21101	289.0858	221.1275	371.3423	37.0136
	"Adams County, WI"	"55001"	"Diseases of the circulatory system"	"I00-I99"	65	21101	308.0423	237.7409	392.6245	38.2079
	"Adams County, WI"	"55001"	"Diseases of the respiratory system"	"J00-J98"	21	21101	99.5213	61.6057	152.1293	21.7173
	"Adams County, WI"	"55001"	"External causes of morbidity and mortality"	"V01-Y89"	16	21101	Unreliable	43.3413	123.1365	18.9564
	"Ashland County, WI"	"55003"	"Neoplasms"	"C00-D48"	39	16145	241.5609	171.7739	330.2209	38.6807
	"Ashland County, WI"	"55003"	"Diseases of the nervous system"	"G00-G98"	15	16145	Unreliable	51.9997	153.2378	23.9887
	"Ashland County, WI"	"55003"	"Diseases of the circulatory system"	"I00-I99"	62	16145	384.0198	294.4242	492.2942	48.7706
	"Ashland County, WI"	"55003"	"Diseases of the respiratory system"	"J00-J98"	20	16145	123.8774	75.6680	191.3187	27.6998
	"Ashland County, WI"	"55003"	"External causes of morbidity and mortality"	"V01-Y89"	14	16145	Unreliable	47.4075	145.4916	23.1753
	"Barron County, WI"	"55005"	"Neoplasms"	"C00-D48"	105	46009	228.2162	184.5638	271.8686	22.2716
	"Barron County, WI"	"55005"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	28	46009	60.8577	40.4393	87.9564	11.5010
	"Barron County, WI"	"55005"	"Mental and behavioural disorders"	"F01-F99"	30	46009	65.2046	43.9936	93.0835	11.9047
	"Barron County, WI"	"55005"	"Diseases of the nervous system"	"G00-G98"	19	46009	Unreliable	24.8632	64.4891	9.4740
	"Barron County, WI"	"55005"	"Diseases of the circulatory system"	"I00-I99"	140	46009	304.2883	253.8829	354.6937	25.7171
	"Barron County, WI"	"55005"	"Diseases of the respiratory system"	"J00-J98"	66	46009	143.4502	110.9444	182.5045	17.6575
	"Barron County, WI"	"55005"	"Diseases of the digestive system"	"K00-K92"	15	46009	Unreliable	18.2472	53.7726	8.4179
	"Barron County, WI"	"55005"	"Diseases of the genitourinary system"	"N00-N98"	16	46009	Unreliable	19.8775	56.4738	8.6940
	"Barron County, WI"	"55005"	"External causes of morbidity and mortality"	"V01-Y89"	21	46009	45.6432	28.2541	69.7707	9.9602
	"Bayfield County, WI"	"55007"	"Neoplasms"	"C00-D48"	35	15160	230.8707	160.8107	321.0858	39.0243
	"Bayfield County, WI"	"55007"	"Diseases of the circulatory system"	"I00-I99"	56	15160	369.3931	279.0359	479.6865	49.3622
	"Bayfield County, WI"	"55007"	"Diseases of the respiratory system"	"J00-J98"	10	15160	Unreliable	31.6319	121.3087	20.8594
	"Bayfield County, WI"	"55007"	"External causes of morbidity and mortality"	"V01-Y89"	16	15160	Unreliable	60.3261	171.3921	26.3852
	"Brown County, WI"	"55009"	"Certain infectious and parasitic diseases"	"A00-B99"	22	244016	9.0158	5.6501	13.6500	1.9222
	"Brown County, WI"	"55009"	"Neoplasms"	"C00-D48"	432	244016	177.0376	160.3428	193.7323	8.5177
	"Brown County, WI"	"55009"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	10	244016	Unreliable	1.9652	7.5366	1.2959
	"Brown County, WI"	"55009"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	37	244016	15.1629	10.6761	20.9001	2.4928
	"Brown County, WI"	"55009"	"Mental and behavioural disorders"	"F01-F99"	100	244016	40.9809	32.9487	49.0132	4.0981
	"Brown County, WI"	"55009"	"Diseases of the nervous system"	"G00-G98"	112	244016	45.8986	37.3981	54.3992	4.3370
	"Brown County, WI"	"55009"	"Diseases of the circulatory system"	"I00-I99"	577	244016	236.4599	217.1658	255.7541	9.8440
	"Brown County, WI"	"55009"	"Diseases of the respiratory system"	"J00-J98"	147	244016	60.2420	50.5034	69.9805	4.9687
	"Brown County, WI"	"55009"	"Diseases of the digestive system"	"K00-K92"	53	244016	21.7199	16.2697	28.4100	2.9835
	"Brown County, WI"	"55009"	"Diseases of the genitourinary system"	"N00-N98"	42	244016	17.2120	12.4049	23.2656	2.6559
	"Brown County, WI"	"55009"	"External causes of morbidity and mortality"	"V01-Y89"	120	244016	49.1771	40.3782	57.9760	4.4892
	"Buffalo County, WI"	"55011"	"Neoplasms"	"C00-D48"	41	13734	298.5292	214.2305	404.9877	46.6224
	"Buffalo County, WI"	"55011"	"Mental and behavioural disorders"	"F01-F99"	11	13734	Unreliable	39.9825	143.3092	24.1490
	"Buffalo County, WI"	"55011"	"Diseases of the circulatory system"	"I00-I99"	45	13734	327.6540	238.9941	438.4273	48.8438
	"Buffalo County, WI"	"55011"	"Diseases of the respiratory system"	"J00-J98"	16	13734	Unreliable	66.5898	189.1877	29.1248
	"Burnett County, WI"	"55013"	"Neoplasms"	"C00-D48"	42	15696	267.5841	192.8505	361.6961	41.2891
	"Burnett County, WI"	"55013"	"Diseases of the circulatory system"	"I00-I99"	55	15696	350.4077	263.9762	456.1047	47.2490
	"Burnett County, WI"	"55013"	"Diseases of the respiratory system"	"J00-J98"	14	15696	Unreliable	48.7636	149.6535	23.8383
	"Burnett County, WI"	"55013"	"External causes of morbidity and mortality"	"V01-Y89"	16	15696	Unreliable	58.2661	165.5392	25.4842
	"Calumet County, WI"	"55015"	"Neoplasms"	"C00-D48"	61	48014	127.0463	97.1802	163.1960	16.2666
	"Calumet County, WI"	"55015"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	18	48014	Unreliable	22.2183	59.2488	8.8363
	"Calumet County, WI"	"55015"	"Mental and behavioural disorders"	"F01-F99"	18	48014	Unreliable	22.2183	59.2488	8.8363
	"Calumet County, WI"	"55015"	"Diseases of the nervous system"	"G00-G98"	22	48014	45.8200	28.7149	69.3719	9.7689
	"Calumet County, WI"	"55015"	"Diseases of the circulatory system"	"I00-I99"	78	48014	162.4526	128.4123	202.7490	18.3941
