"Notes"	"County"	"County Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Adams County, WI"	"55001"	"Neoplasms"	"C00-D48"	66	20348	324.3562	250.8571	412.6622	39.9255
	"Adams County, WI"	"55001"	"Diseases of the nervous system"	"G00-G98"	14	20348	Unreliable	37.6152	115.4395	18.3883
	"Adams County, WI"	"55001"	"Diseases of the circulatory system"	"I00-I99"	88	20348	432.4749	346.8579	532.8221	46.1020
	"Adams County, WI"	"55001"	"Diseases of the respiratory system"	"J00-J98"	34	20348	167.0926	115.7166	233.4952	28.6561
	"Adams County, WI"	"55001"	"Diseases of the digestive system"	"K00-K92"	20	20348	98.2898	60.0383	151.8007	21.9783
	"Adams County, WI"	"55001"	"External causes of morbidity and mortality"	"V01-Y89"	24	20348	117.9477	75.5715	175.4968	24.0760
	"Ashland County, WI"	"55003"	"Neoplasms"	"C00-D48"	33	15600	211.5385	145.6125	297.0783	36.8241
	"Ashland County, WI"	"55003"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	11	15600	Unreliable	35.2000	126.1672	21.2604
	"Ashland County, WI"	"55003"	"Mental and behavioural disorders"	"F01-F99"	14	15600	Unreliable	49.0637	150.5745	23.9850
	"Ashland County, WI"	"55003"	"Diseases of the nervous system"	"G00-G98"	16	15600	Unreliable	58.6246	166.5579	25.6410
	"Ashland County, WI"	"55003"	"Diseases of the circulatory system"	"I00-I99"	57	15600	365.3846	276.7387	473.3996	48.3964
	"Ashland County, WI"	"55003"	"Diseases of the respiratory system"	"J00-J98"	28	15600	179.4872	119.2674	259.4092	33.9199
	"Ashland County, WI"	"55003"	"External causes of morbidity and mortality"	"V01-Y89"	22	15600	141.0256	88.3794	213.5142	30.0668
	"Barron County, WI"	"55005"	"Certain infectious and parasitic diseases"	"A00-B99"	13	45164	Unreliable	15.3263	49.2215	7.9832
	"Barron County, WI"	"55005"	"Neoplasms"	"C00-D48"	129	45164	285.6257	236.3358	334.9157	25.1479
	"Barron County, WI"	"55005"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	28	45164	61.9963	41.1959	89.6020	11.7162
	"Barron County, WI"	"55005"	"Mental and behavioural disorders"	"F01-F99"	33	45164	73.0670	50.2957	102.6132	12.7193
	"Barron County, WI"	"55005"	"Diseases of the nervous system"	"G00-G98"	51	45164	112.9218	84.0782	148.4718	15.8122
	"Barron County, WI"	"55005"	"Diseases of the circulatory system"	"I00-I99"	154	45164	340.9795	287.1248	394.8343	27.4769
	"Barron County, WI"	"55005"	"Diseases of the respiratory system"	"J00-J98"	58	45164	128.4209	97.5151	166.0135	16.8625
	"Barron County, WI"	"55005"	"Diseases of the digestive system"	"K00-K92"	23	45164	50.9255	32.2822	76.4132	10.6187
	"Barron County, WI"	"55005"	"External causes of morbidity and mortality"	"V01-Y89"	43	45164	95.2086	68.9024	128.2450	14.5192
	"Bayfield County, WI"	"55007"	"Neoplasms"	"C00-D48"	43	15042	285.8662	206.8814	385.0590	43.5942
	"Bayfield County, WI"	"55007"	"Diseases of the nervous system"	"G00-G98"	20	15042	132.9610	81.2166	205.3477	29.7310
	"Bayfield County, WI"	"55007"	"Diseases of the circulatory system"	"I00-I99"	50	15042	332.4026	246.7159	438.2329	47.0088
	"Bayfield County, WI"	"55007"	"Diseases of the respiratory system"	"J00-J98"	16	15042	Unreliable	60.7994	172.7366	26.5922
	"Bayfield County, WI"	"55007"	"External causes of morbidity and mortality"	"V01-Y89"	18	15042	Unreliable	70.9206	189.1221	28.2053
	"Brown County, WI"	"55009"	"Certain infectious and parasitic diseases"	"A00-B99"	41	263378	15.5670	11.1712	21.1183	2.4312
	"Brown County, WI"	"55009"	"Neoplasms"	"C00-D48"	466	263378	176.9320	160.8674	192.9966	8.1962
	"Brown County, WI"	"55009"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	83	263378	31.5136	25.1003	39.0659	3.4591
	"Brown County, WI"	"55009"	"Mental and behavioural disorders"	"F01-F99"	183	263378	69.4819	59.4148	79.5489	5.1362
	"Brown County, WI"	"55009"	"Diseases of the nervous system"	"G00-G98"	179	263378	67.9632	58.0067	77.9196	5.0798
	"Brown County, WI"	"55009"	"Diseases of the circulatory system"	"I00-I99"	591	263378	224.3923	206.3010	242.4836	9.2303
	"Brown County, WI"	"55009"	"Diseases of the respiratory system"	"J00-J98"	174	263378	66.0647	56.2484	75.8811	5.0084
	"Brown County, WI"	"55009"	"Diseases of the digestive system"	"K00-K92"	76	263378	28.8559	22.7352	36.1174	3.3100
	"Brown County, WI"	"55009"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	19	263378	Unreliable	4.3433	11.2655	1.6550
	"Brown County, WI"	"55009"	"Diseases of the genitourinary system"	"N00-N98"	39	263378	14.8076	10.5297	20.2425	2.3711
	"Brown County, WI"	"55009"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	10	263378	Unreliable	1.8207	6.9825	1.2007
	"Brown County, WI"	"55009"	"External causes of morbidity and mortality"	"V01-Y89"	180	263378	68.3428	58.3586	78.3270	5.0940
	"Buffalo County, WI"	"55011"	"Neoplasms"	"C00-D48"	24	13125	182.8571	117.1602	272.0768	37.3256
	"Buffalo County, WI"	"55011"	"Diseases of the nervous system"	"G00-G98"	10	13125	Unreliable	36.5364	140.1173	24.0935
	"Buffalo County, WI"	"55011"	"Diseases of the circulatory system"	"I00-I99"	46	13125	350.4762	256.5941	467.4862	51.6749
	"Buffalo County, WI"	"55011"	"Diseases of the respiratory system"	"J00-J98"	17	13125	Unreliable	75.4528	207.3806	31.4141
	"Buffalo County, WI"	"55011"	"External causes of morbidity and mortality"	"V01-Y89"	10	13125	Unreliable	36.5364	140.1173	24.0935
	"Burnett County, WI"	"55013"	"Neoplasms"	"C00-D48"	48	15392	311.8503	229.9335	413.4667	45.0117
	"Burnett County, WI"	"55013"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	12	15392	Unreliable	40.2840	136.1850	22.5059
	"Burnett County, WI"	"55013"	"Mental and behavioural disorders"	"F01-F99"	14	15392	Unreliable	49.7267	152.6093	24.3091
	"Burnett County, WI"	"55013"	"Diseases of the circulatory system"	"I00-I99"	63	15392	409.3035	314.5211	523.6752	51.5674
	"Burnett County, WI"	"55013"	"Diseases of the respiratory system"	"J00-J98"	20	15392	129.9376	79.3698	200.6783	29.0549
	"Burnett County, WI"	"55013"	"Diseases of the digestive system"	"K00-K92"	10	15392	Unreliable	31.1551	119.4802	20.5449
	"Burnett County, WI"	"55013"	"External causes of morbidity and mortality"	"V01-Y89"	13	15392	Unreliable	44.9713	144.4282	23.4248
	"Calumet County, WI"	"55015"	"Neoplasms"	"C00-D48"	84	50159	167.4675	133.5787	207.3364	18.2722
	"Calumet County, WI"	"55015"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	16	50159	Unreliable	18.2329	51.8014	7.9746
	"Calumet County, WI"	"55015"	"Mental and behavioural disorders"	"F01-F99"	33	50159	65.7908	45.2871	92.3946	11.4527
	"Calumet County, WI"	"55015"	"Diseases of the nervous system"	"G00-G98"	33	50159	65.7908	45.2871	92.3946	11.4527
	"Calumet County, WI"	"55015"	"Diseases of the circulatory system"	"I00-I99"	111	50159	221.2963	180.1274	262.4651	21.0045
	"Calumet County, WI"	"55015"	"Diseases of the respiratory system"	"J00-J98"	28	50159	55.8225	37.0935	80.6791	10.5495
	"Calumet County, WI"	"55015"	"Diseases of the digestive system"	"K00-K92"	17	50159	Unreliable	19.7436	54.2648	8.2201
	"Calumet County, WI"	"55015"	"External causes of morbidity and mortality"	"V01-Y89"	33	50159	65.7908	45.2871	92.3946	11.4527
	"Chippewa County, WI"	"55017"	"Neoplasms"	"C00-D48"	136	64135	212.0527	176.4133	247.6921	18.1834
	"Chippewa County, WI"	"55017"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	24	64135	37.4211	23.9764	55.6796	7.6385
	"Chippewa County, WI"	"55017"	"Mental and behavioural disorders"	"F01-F99"	49	64135	76.4013	56.5225	101.0064	10.9145
	"Chippewa County, WI"	"55017"	"Diseases of the nervous system"	"G00-G98"	27	64135	42.0987	27.7435	61.2515	8.1019
	"Chippewa County, WI"	"55017"	"Diseases of the circulatory system"	"I00-I99"	192	64135	299.3685	257.0226	341.7144	21.6051
	"Chippewa County, WI"	"55017"	"Diseases of the respiratory system"	"J00-J98"	71	64135	110.7040	86.4609	139.6376	13.1381
	"Chippewa County, WI"	"55017"	"Diseases of the digestive system"	"K00-K92"	30	64135	46.7763	31.5600	66.7760	8.5402
	"Chippewa County, WI"	"55017"	"Diseases of the genitourinary system"	"N00-N98"	17	64135	Unreliable	15.4411	42.4397	6.4288
	"Chippewa County, WI"	"55017"	"External causes of morbidity and mortality"	"V01-Y89"	49	64135	76.4013	56.5225	101.0064	10.9145
	"Clark County, WI"	"55019"	"Neoplasms"	"C00-D48"	80	34709	230.4878	182.7630	286.8628	25.7693
	"Clark County, WI"	"55019"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	25	34709	72.0274	46.6126	106.3269	14.4055
	"Clark County, WI"	"55019"	"Mental and behavioural disorders"	"F01-F99"	30	34709	86.4329	58.3163	123.3882	15.7804
	"Clark County, WI"	"55019"	"Diseases of the nervous system"	"G00-G98"	31	34709	89.3140	60.6844	126.7741	16.0413
	"Clark County, WI"	"55019"	"Diseases of the circulatory system"	"I00-I99"	98	34709	282.3475	229.2238	344.0913	28.5214
	"Clark County, WI"	"55019"	"Diseases of the respiratory system"	"J00-J98"	37	34709	106.6006	75.0564	146.9351	17.5250
	"Clark County, WI"	"55019"	"Diseases of the digestive system"	"K00-K92"	10	34709	Unreliable	13.8160	52.9845	9.1108
	"Clark County, WI"	"55019"	"External causes of morbidity and mortality"	"V01-Y89"	27	34709	77.7896	51.2641	113.1800	14.9706
	"Columbia County, WI"	"55021"	"Neoplasms"	"C00-D48"	144	57358	251.0548	210.0492	292.0604	20.9212
	"Columbia County, WI"	"55021"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	27	57358	47.0728	31.0214	68.4885	9.0592
	"Columbia County, WI"	"55021"	"Mental and behavioural disorders"	"F01-F99"	27	57358	47.0728	31.0214	68.4885	9.0592
	"Columbia County, WI"	"55021"	"Diseases of the nervous system"	"G00-G98"	52	57358	90.6587	67.7084	118.8871	12.5721
	"Columbia County, WI"	"55021"	"Diseases of the circulatory system"	"I00-I99"	138	57358	240.5942	200.4519	280.7364	20.4807
	"Columbia County, WI"	"55021"	"Diseases of the respiratory system"	"J00-J98"	62	57358	108.0930	82.8738	138.5699	13.7278
	"Columbia County, WI"	"55021"	"Diseases of the digestive system"	"K00-K92"	26	57358	45.3293	29.6105	66.4179	8.8898
	"Columbia County, WI"	"55021"	"Diseases of the genitourinary system"	"N00-N98"	13	57358	Unreliable	12.0680	38.7573	6.2860
	"Columbia County, WI"	"55021"	"External causes of morbidity and mortality"	"V01-Y89"	57	57358	99.3758	75.2663	128.7533	13.1627
	"Crawford County, WI"	"55023"	"Neoplasms"	"C00-D48"	38	16291	233.2576	165.0671	320.1648	37.8394
	"Crawford County, WI"	"55023"	"Diseases of the nervous system"	"G00-G98"	14	16291	Unreliable	46.9826	144.1877	22.9676
	"Crawford County, WI"	"55023"	"Diseases of the circulatory system"	"I00-I99"	58	16291	356.0248	270.3439	460.2439	46.7483
	"Crawford County, WI"	"55023"	"Diseases of the respiratory system"	"J00-J98"	16	16291	Unreliable	56.1380	159.4932	24.5534
	"Crawford County, WI"	"55023"	"Diseases of the genitourinary system"	"N00-N98"	10	16291	Unreliable	29.4359	112.8869	19.4112
