"Notes"	"County"	"County Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Adams County, WI"	"55001"	"Neoplasms"	"C00-D48"	62	20679	299.8211	229.8698	384.3556	38.0773
	"Adams County, WI"	"55001"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	12	20679	Unreliable	29.9846	101.3666	16.7518
	"Adams County, WI"	"55001"	"Diseases of the nervous system"	"G00-G98"	15	20679	Unreliable	40.5984	119.6395	18.7291
	"Adams County, WI"	"55001"	"Diseases of the circulatory system"	"I00-I99"	71	20679	343.3435	268.1547	433.0797	40.7474
	"Adams County, WI"	"55001"	"Diseases of the respiratory system"	"J00-J98"	21	20679	101.5523	62.8629	155.2339	22.1605
	"Adams County, WI"	"55001"	"External causes of morbidity and mortality"	"V01-Y89"	22	20679	106.3881	66.6724	161.0727	22.6820
	"Ashland County, WI"	"55003"	"Neoplasms"	"C00-D48"	44	15992	275.1376	199.9150	369.3584	41.4785
	"Ashland County, WI"	"55003"	"Diseases of the nervous system"	"G00-G98"	11	15992	Unreliable	34.3372	123.0745	20.7393
	"Ashland County, WI"	"55003"	"Diseases of the circulatory system"	"I00-I99"	44	15992	275.1376	199.9150	369.3584	41.4785
	"Ashland County, WI"	"55003"	"Diseases of the respiratory system"	"J00-J98"	11	15992	Unreliable	34.3372	123.0745	20.7393
	"Ashland County, WI"	"55003"	"Diseases of the digestive system"	"K00-K92"	11	15992	Unreliable	34.3372	123.0745	20.7393
	"Ashland County, WI"	"55003"	"External causes of morbidity and mortality"	"V01-Y89"	14	15992	Unreliable	47.8611	146.8836	23.3971
	"Barron County, WI"	"55005"	"Neoplasms"	"C00-D48"	119	45733	260.2060	213.4540	306.9579	23.8530
	"Barron County, WI"	"55005"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	25	45733	54.6651	35.3765	80.6967	10.9330
	"Barron County, WI"	"55005"	"Mental and behavioural disorders"	"F01-F99"	43	45733	94.0240	68.0452	126.6494	14.3385
	"Barron County, WI"	"55005"	"Diseases of the nervous system"	"G00-G98"	31	45733	67.7848	46.0563	96.2150	12.1745
	"Barron County, WI"	"55005"	"Diseases of the circulatory system"	"I00-I99"	178	45733	389.2157	332.0367	446.3946	29.1729
	"Barron County, WI"	"55005"	"Diseases of the respiratory system"	"J00-J98"	45	45733	98.3972	71.7719	131.6634	14.6682
	"Barron County, WI"	"55005"	"Diseases of the digestive system"	"K00-K92"	15	45733	Unreliable	18.3573	54.0972	8.4687
	"Barron County, WI"	"55005"	"Diseases of the genitourinary system"	"N00-N98"	13	45733	Unreliable	15.1356	48.6091	7.8839
	"Barron County, WI"	"55005"	"External causes of morbidity and mortality"	"V01-Y89"	30	45733	65.5981	44.2591	93.6453	11.9765
	"Bayfield County, WI"	"55007"	"Neoplasms"	"C00-D48"	47	15099	311.2789	228.7153	413.9356	45.4047
	"Bayfield County, WI"	"55007"	"Diseases of the nervous system"	"G00-G98"	10	15099	Unreliable	31.7597	121.7988	20.9436
	"Bayfield County, WI"	"55007"	"Diseases of the circulatory system"	"I00-I99"	40	15099	264.9182	189.2602	360.7444	41.8872
	"Bayfield County, WI"	"55007"	"Diseases of the respiratory system"	"J00-J98"	22	15099	145.7050	91.3119	220.5988	31.0644
	"Bayfield County, WI"	"55007"	"External causes of morbidity and mortality"	"V01-Y89"	13	15099	Unreliable	45.8440	147.2309	23.8794
	"Brown County, WI"	"55009"	"Certain infectious and parasitic diseases"	"A00-B99"	37	253032	14.6227	10.2957	20.1554	2.4039
	"Brown County, WI"	"55009"	"Neoplasms"	"C00-D48"	460	253032	181.7952	165.1817	198.4086	8.4762
	"Brown County, WI"	"55009"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	41	253032	16.2035	11.6279	21.9818	2.5306
	"Brown County, WI"	"55009"	"Mental and behavioural disorders"	"F01-F99"	145	253032	57.3050	47.9775	66.6325	4.7589
	"Brown County, WI"	"55009"	"Diseases of the nervous system"	"G00-G98"	111	253032	43.8680	35.7070	52.0289	4.1638
	"Brown County, WI"	"55009"	"Diseases of the circulatory system"	"I00-I99"	574	253032	226.8488	208.2905	245.4070	9.4685
	"Brown County, WI"	"55009"	"Diseases of the respiratory system"	"J00-J98"	140	253032	55.3290	46.1637	64.4942	4.6762
	"Brown County, WI"	"55009"	"Diseases of the digestive system"	"K00-K92"	72	253032	28.4549	22.2643	35.8341	3.3534
	"Brown County, WI"	"55009"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	10	253032	Unreliable	1.8952	7.2680	1.2498
	"Brown County, WI"	"55009"	"Diseases of the genitourinary system"	"N00-N98"	50	253032	19.7603	14.6665	26.0516	2.7945
	"Brown County, WI"	"55009"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	13	253032	Unreliable	2.7356	8.7856	1.4249
	"Brown County, WI"	"55009"	"External causes of morbidity and mortality"	"V01-Y89"	133	253032	52.5625	43.6293	61.4957	4.5577
	"Buffalo County, WI"	"55011"	"Neoplasms"	"C00-D48"	34	13333	255.0064	176.5996	356.3459	43.7332
	"Buffalo County, WI"	"55011"	"Diseases of the circulatory system"	"I00-I99"	35	13333	262.5066	182.8463	365.0836	44.3717
