"Notes"	"County"	"County Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Adams County, WI"	"55001"	"Neoplasms"	"C00-D48"	70	21185	330.4225	257.5808	417.4690	39.4930
	"Adams County, WI"	"55001"	"Diseases of the circulatory system"	"I00-I99"	67	21185	316.2615	245.0995	401.6395	38.6375
	"Adams County, WI"	"55001"	"Diseases of the respiratory system"	"J00-J98"	23	21185	108.5674	68.8219	162.9043	22.6379
	"Adams County, WI"	"55001"	"External causes of morbidity and mortality"	"V01-Y89"	14	21185	Unreliable	36.1291	110.8785	17.6618
	"Ashland County, WI"	"55003"	"Neoplasms"	"C00-D48"	45	16408	274.2565	200.0454	366.9771	40.8837
	"Ashland County, WI"	"55003"	"Diseases of the nervous system"	"G00-G98"	15	16408	Unreliable	51.1662	150.7816	23.6042
	"Ashland County, WI"	"55003"	"Diseases of the circulatory system"	"I00-I99"	53	16408	323.0132	241.9595	422.5077	44.3693
	"Ashland County, WI"	"55003"	"Diseases of the respiratory system"	"J00-J98"	18	16408	Unreliable	65.0163	173.3773	25.8571
	"Barron County, WI"	"55005"	"Neoplasms"	"C00-D48"	129	45968	280.6300	232.2021	329.0579	24.7081
	"Barron County, WI"	"55005"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	12	45968	Unreliable	13.4888	45.6004	7.5359
	"Barron County, WI"	"55005"	"Mental and behavioural disorders"	"F01-F99"	18	45968	Unreliable	23.2072	61.8860	9.2296
	"Barron County, WI"	"55005"	"Diseases of the nervous system"	"G00-G98"	43	45968	93.5433	67.6973	126.0019	14.2652
	"Barron County, WI"	"55005"	"Diseases of the circulatory system"	"I00-I99"	158	45968	343.7174	290.1218	397.3130	27.3447
	"Barron County, WI"	"55005"	"Diseases of the respiratory system"	"J00-J98"	51	45968	110.9467	82.6076	145.8750	15.5357
	"Barron County, WI"	"55005"	"Diseases of the digestive system"	"K00-K92"	12	45968	Unreliable	13.4888	45.6004	7.5359
	"Barron County, WI"	"55005"	"Diseases of the genitourinary system"	"N00-N98"	16	45968	Unreliable	19.8952	56.5242	8.7017
	"Barron County, WI"	"55005"	"External causes of morbidity and mortality"	"V01-Y89"	30	45968	65.2628	44.0328	93.1666	11.9153
	"Bayfield County, WI"	"55007"	"Neoplasms"	"C00-D48"	41	15172	270.2346	193.9258	366.6030	42.2036
	"Bayfield County, WI"	"55007"	"Diseases of the circulatory system"	"I00-I99"	34	15172	224.0970	155.1939	313.1532	38.4323
	"Bayfield County, WI"	"55007"	"Diseases of the respiratory system"	"J00-J98"	10	15172	Unreliable	31.6069	121.2128	20.8429
	"Brown County, WI"	"55009"	"Certain infectious and parasitic diseases"	"A00-B99"	17	240191	Unreliable	4.1230	11.3321	1.7166
	"Brown County, WI"	"55009"	"Neoplasms"	"C00-D48"	393	240191	163.6198	147.4429	179.7967	8.2535
	"Brown County, WI"	"55009"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	47	240191	19.5678	14.3776	26.0210	2.8543
	"Brown County, WI"	"55009"	"Mental and behavioural disorders"	"F01-F99"	85	240191	35.3885	28.2669	43.7586	3.8384
	"Brown County, WI"	"55009"	"Diseases of the nervous system"	"G00-G98"	121	240191	50.3766	41.4004	59.3528	4.5797
	"Brown County, WI"	"55009"	"Diseases of the circulatory system"	"I00-I99"	568	240191	236.4785	217.0305	255.9264	9.9224
	"Brown County, WI"	"55009"	"Diseases of the respiratory system"	"J00-J98"	133	240191	55.3726	45.9618	64.7834	4.8014
	"Brown County, WI"	"55009"	"Diseases of the digestive system"	"K00-K92"	60	240191	24.9801	19.0626	32.1544	3.2249
	"Brown County, WI"	"55009"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	11	240191	Unreliable	2.2862	8.1943	1.3808
	"Brown County, WI"	"55009"	"Diseases of the genitourinary system"	"N00-N98"	47	240191	19.5678	14.3776	26.0210	2.8543
	"Brown County, WI"	"55009"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	10	240191	Unreliable	1.9965	7.6566	1.3166
